mes_ref,variavel,descricao,categoria,pop_ponderada,pct_ponderado,grupo
2020-09,sintoma_febre,Febre,Sim,1583337,0.7490033721408479,sintoma
2020-09,sintoma_tosse,Tosse,Sim,3026779,1.4318290432774508,sintoma
2020-09,sintoma_dificuldade_respirar,Dific. Respirar,Sim,998492,0.4723403450748418,sintoma
2020-09,sintoma_perda_olfato_paladar,Perda Olfato/Paladar,Sim,861771,0.40766398820861244,sintoma
2020-09,sintoma_fadiga,Fadiga,Sim,1500221,0.7096854137247512,sintoma
2020-09,medico_deu_diagnostico_diabetes,Diabetes,Sim,10920425,5.1659486563758845,comorbidade
2020-09,medico_deu_diagnostico_hipertensao,Hipertensão,Sim,27708214,13.107475837868094,comorbidade
2020-09,medico_deu_diagnostico_doencas_coracao_infarto_angina,Doenças Cardíacas,Sim,5299187,2.5068003815254625,comorbidade
2020-09,fez_teste_covid,Realizou teste,Sim,21947409,10.382305006927064,testagem
2020-09,resultado_teste_positivo,Resultado Positivo,Positivo,1619444,0.7660840658743683,testagem
2020-10,sintoma_febre,Febre,Sim,1504519,0.7112808857264267,sintoma
2020-10,sintoma_tosse,Tosse,Sim,2617999,1.2376927725603135,sintoma
2020-10,sintoma_dificuldade_respirar,Dific. Respirar,Sim,868985,0.41082397936539766,sintoma
2020-10,sintoma_perda_olfato_paladar,Perda Olfato/Paladar,Sim,702358,0.33204894231495863,sintoma
2020-10,sintoma_fadiga,Fadiga,Sim,1405524,0.6644793776056109,sintoma
2020-10,medico_deu_diagnostico_diabetes,Diabetes,Sim,11116340,5.255392354635513,comorbidade
2020-10,medico_deu_diagnostico_hipertensao,Hipertensão,Sim,28038350,13.255489631712125,comorbidade
2020-10,medico_deu_diagnostico_doencas_coracao_infarto_angina,Doenças Cardíacas,Sim,5445512,2.574435799914339,comorbidade
2020-10,fez_teste_covid,Realizou teste,Sim,25658906,12.130577143563928,testagem
2020-10,resultado_teste_positivo,Resultado Positivo,Positivo,1863659,0.8810687863401887,testagem
2020-11,sintoma_febre,Febre,Sim,1768385,0.8355137480685942,sintoma
2020-11,sintoma_tosse,Tosse,Sim,3025912,1.4296615100087264,sintoma
2020-11,sintoma_dificuldade_respirar,Dific. Respirar,Sim,911997,0.43089388805945233,sintoma
2020-11,sintoma_perda_olfato_paladar,Perda Olfato/Paladar,Sim,795837,0.37601159440882537,sintoma
2020-11,sintoma_fadiga,Fadiga,Sim,1515096,0.7158415310392545,sintoma
2020-11,medico_deu_diagnostico_diabetes,Diabetes,Sim,11126398,5.256921068906687,comorbidade
2020-11,medico_deu_diagnostico_hipertensao,Hipertensão,Sim,28182265,13.315355274822416,comorbidade
2020-11,medico_deu_diagnostico_doencas_coracao_infarto_angina,Doenças Cardíacas,Sim,5473614,2.586134036036566,comorbidade
2020-11,fez_teste_covid,Realizou teste,Sim,28592470,13.509166185594387,testagem
2020-11,resultado_teste_positivo,Resultado Positivo,Positivo,2045131,0.9662690913067941,testagem
TOTAL,sintoma_febre,Febre,Sim,4856241,0.7652837074241945,sintoma
TOTAL,sintoma_tosse,Tosse,Sim,8670690,1.3663939698476735,sintoma
TOTAL,sintoma_dificuldade_respirar,Dific. Respirar,Sim,2779474,0.4380109100010339,sintoma
TOTAL,sintoma_perda_olfato_paladar,Perda Olfato/Paladar,Sim,2359967,0.37190168385598543,sintoma
TOTAL,sintoma_fadiga,Fadiga,Sim,4420841,0.6966700278411904,sintoma
TOTAL,medico_deu_diagnostico_diabetes,Diabetes,Sim,33163163,5.226105997485001,comorbidade
TOTAL,medico_deu_diagnostico_hipertensao,Hipertensão,Sim,83928829,13.226149494815594,comorbidade
TOTAL,medico_deu_diagnostico_doencas_coracao_infarto_angina,Doenças Cardíacas,Sim,16218313,2.555806324059192,comorbidade
TOTAL,fez_teste_covid,Realizou teste,Sim,76198785,12.007989851566721,testagem
TOTAL,resultado_teste_positivo,Resultado Positivo,Positivo,5528234,0.8711816477830909,testagem
